Component,Version,Area,Category,Title,Description,Action,Type,Environment,Release Date
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Enable or disable scheduled jobs in Database Objects","You can now enable or disable scheduled jobs from their details page in Database Objects. The Properties tab displays whether a job is enabled or disabled.","Info only","New","Other","2026-05-06"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Upload multiple files at once in the Data Lake Files app","In the Data Lake Files app, you can now upload or drag and drop multiple files at once into the File Explorer. There is now an Upload Progress table. See Using Data Lake Files in SAP HANA Cloud Central.","Info only","New","Other","2026-05-06"
"SAP HANA Cloud","Version independent","Provisioning","SAP HANA Cloud Central","Provision large instances with >12 TB memory","You can now provision large instances with memory larger than 12 TB to support enterprise workloads that require substantial memory and processing power.  See:    Large SAP HANA Database Instances (>12 TB Memory)  Memory and Storage Sizes Supported by SAP HANA Database  3717342   ","Info only","New","Other","2026-05-06"
"SAP HANA Database","Version independent","Development","SAP HANA Cloud Central","View PRINT_LINE statement outputs in the SQL Console","PRINT_LINE statement outputs now appear in the Console Output section of the Result tab. See Built-in Library SQLSCRIPT_PRINT.","Info only","New","Other","2026-05-06"
"SAP HANA Cloud","Version independent","Provisioning","Other","SAP HANA Cloud now a core component in SAP Business Data Cloud","SAP HANA Cloud is now available as a core component in SAP Business Data Cloud. This means you can use SAP Business Data Cloud credits to provision an SAP HANA Cloud, SAP HANA database.  See:   SAP Note 3737180   Provisioning SAP HANA Cloud  ","Info only","New","Other","2026-04-20"
"SAP HANA Cloud","Version independent","Administration","Multitenancy","Container and credential limits increased","Up to 72 containers (schemas or HDI containers) and 144 credentials can be created per database tenant.  See: Feature Limitations","Info only","Changed","Other","2026-04-16"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Filter and search in the Connect Instance dialog","You can now search your instances in the Connect Instance dialog in the SQL Console and the Database Objects app. You can also filter by instance type and choose to show running instances only.","Info only","New","Other","2026-04-09"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Improved Columns and Parameters lists in the Syntax Help side panel","In the Syntax Help side panel, the lists of Columns and Parameters are now collapsible. You can filter each list by name or datatype. You can also select a column name to insert it directly into the SQL Console.","Info only","New","Other","2026-04-09"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Restore closed tabs in the SQL Console","You can now restore up to 10 of your most recently-closed tabs in the SQL Console. See Managing Tabs.","Info only","New","Other","2026-04-09"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Use Gen AI in the SQL Console","You can now use Gen AI in the SQL Console to generate, explain, and optimize SQL statements. See Using Gen AI in the SQL Console.","Info only","New","Other","2026-04-09"
